id,ingredient_name,unit_price,reference_unit,reference_quantity,updated_at,capacity,unit,supplier_id,unit_column
35fd0bce-725e-4379-95ac-66d69b08e3f5,フランス産冷凍　ソシースフュメ,600.0,,,2025-10-12T16:56:42.998603+00:00,4.0,本,ec953775-a219-4546-93a8-dc14d0f7d487,1.00
351a423b-36c2-463f-9eaa-f0dd14cb3e68,カリフラワー,480.0,,,2025-10-12T16:56:42.998604+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
22eeaf70-b714-40b2-bcc1-3ca0a20a730b,FR　ルッコラセルバチコ,450.0,,,2025-10-12T16:56:42.998606+00:00,1.0,個,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
a08964c6-1a00-4703-ba28-42cdf97ec832,トンマーゾ　EXVオリーブオイル,2440.0,,,2025-10-12T16:56:42.998631+00:00,500.0,ml,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
26bb967f-87fc-4aa1-bb32-fdcc9a7a89ff,取寄／日清製粉 テロワール ピュール ２５ｋｇ,9750.0,,,2025-10-12T16:56:42.998633+00:00,25000.0,g,0a576284-f688-47d6-b4fa-a9d737628713,1.00
96b67e11-7666-41fc-baf4-ace5c10222b3,トンマーゾ：イントッソ ［ＥＸＶオリーブオイル］ ５００ｍｌ,2900.0,,,2025-10-12T16:56:42.998634+00:00,500.0,ml,0a576284-f688-47d6-b4fa-a9d737628713,1.00
15c3c50f-608f-4d06-ad8d-219a6bfcb7c9,テタンジェ  ＢＲＵＴ レゼルヴ,3600.0,,,2025-10-12T16:56:42.998636+00:00,1.0,個,0a576284-f688-47d6-b4fa-a9d737628713,1.00
6973d602-0e52-4cd7-a425-d7b081ccc1bb,カラーエプロン,100.0,,,2025-10-12T16:56:42.998637+00:00,1.0,個,ba13382f-0f67-4b87-96b1-5b36aa7d01e7,0.00
934aa58c-d436-4e9e-963d-54ae971d64ae,トレハロース,1260.0,,,2025-10-12T16:56:42.998639+00:00,2000.0,g,ec953775-a219-4546-93a8-dc14d0f7d487,0.00
4d9f6190-fc7d-4fc1-8fd7-393606474afd,かぶ,260.0,,,2025-10-12T16:56:42.99864+00:00,1.0,個,22456047-e055-4bd1-877d-13f087aea740,0.00
